"","correct_rating","component","concept","feedback","module","task","Element"
"40","Absent",2,7,"This main concept is absent. No produced sentences match the essential elements for this concept.","2","broken_window","picked up"
"41","Absent",3,7,"This main concept is absent. No produced sentences match the essential elements for this concept.","2","broken_window","the ball"
"42","Accurate",1,8,"none","2","broken_window","The man"
"43","Absent",2,8,"This main concept is absent. No produced sentences match the essential elements for this concept.","2","broken_window","looked"
"44","Absent",3,8,"This main concept is absent. No produced sentences match the essential elements for this concept.","2","broken_window","out of the window"
"45","Absent",1,1,"This main concept is absent. No produced sentences match the essential elements for this concept.","3","cat_rescue","The little girl"
"46","Absent",2,1,"This main concept is absent. No produced sentences match the essential elements for this concept.","3","cat_rescue","was riding"
"47","Absent",3,1,"This main concept is absent. No produced sentences match the essential elements for this concept.","3","cat_rescue","her bicycle"
"48","Accurate",1,2,"none","3","cat_rescue","The cat"
"49","Accurate",2,2,"none","3","cat_rescue","was in"
"50","Accurate",3,2,"none","3","cat_rescue","the tree"
"51","Accurate",1,3,"none","3","cat_rescue","The dog"
"52","Accurate",2,3,"none","3","cat_rescue","was barking"
"53","Absent",1,4,"This main concept is absent. No produced sentences match the essential elements for this concept.","3","cat_rescue","The man"
"54","Absent",2,4,"This main concept is absent. No produced sentences match the essential elements for this concept.","3","cat_rescue","climbed up"
"55","Absent",3,4,"This main concept is absent. No produced sentences match the essential elements for this concept.","3","cat_rescue","the tree"
"56","Absent",1,5,"This main concept is absent. No produced sentences match the essential elements for this concept.","3","cat_rescue","The man"
"57","Absent",2,5,"This main concept is absent. No produced sentences match the essential elements for this concept.","3","cat_rescue","tries to rescue"
"58","Absent",3,5,"This main concept is absent. No produced sentences match the essential elements for this concept.","3","cat_rescue","the cat"
"59","Absent",1,6,"This main concept is absent. No produced sentences match the essential elements for this concept.","3","cat_rescue","The ladder"
"60","Absent",2,6,"This main concept is absent. No produced sentences match the essential elements for this concept.","3","cat_rescue","fell down"
"61","Accurate",1,7,"none","3","cat_rescue","The father"
"62","Accurate",2,7,"none","3","cat_rescue","is stuck"
"63","Absent",3,7,"This main concept is absent. No produced sentences match the essential elements for this concept.","3","cat_rescue","in the tree"
"64","Absent",1,8,"This main concept is absent. No produced sentences match the essential elements for this concept.","3","cat_rescue","Someone"
"65","Absent",2,8,"This main concept is absent. No produced sentences match the essential elements for this concept.","3","cat_rescue","called"
"66","Absent",3,8,"This main concept is absent. No produced sentences match the essential elements for this concept.","3","cat_rescue","the fire department"
"67","Accurate",1,9,"none","3","cat_rescue","The fire department"
"68","Accurate",2,9,"none","3","cat_rescue","comes"
"69","Accurate",3,9,"none","3","cat_rescue","with a ladder"
"70","Accurate",1,10,"none","3","cat_rescue","The fire department"
"71","Accurate",2,10,"none","3","cat_rescue","rescues"
"72","Accurate",3,10,"none","3","cat_rescue","them"
